Current User: User 5,Application Access: Any logged in user,Project Role: Testers,Curent Assignee,Group: Anyone,Group Custom Field: Epic Status,Project Role: Developers,Reporter,Project Lead: Administrator,Group: jira-administrators,
false,false,false,false,false,false,false,false,false,false,
true,false,false,true,false,false,false,false,false,false,
true,false,false,false,false,false,false,false,false,true,
false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,
true,false,false,false,false,false,false,true,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
true,false,false,false,false,false,true,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
true,true,false,false,false,false,false,false,false,false,
true,false,false,false,true,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
true,false,false,false,false,false,true,false,false,false,
true,false,false,false,false,false,false,false,true,false,
false,false,true,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
true,false,false,false,false,false,false,true,false,false,
false,false,false,false,false,true,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,
false,false,false,false,false,false,false,false,false,false,